,Date,Draymond Green,Kevin Durant,Klay Thompson,Stephen Curry,Win
0,10/25/16,18,27,11,26,0
1,10/28/16,8,30,28,23,1
2,10/30/16,5,37,14,28,1
3,11/1/16,6,20,14,28,1
4,11/3/16,9,39,18,21,1
5,11/4/16,16,27,10,13,0
6,11/7/16,4,22,24,46,1
7,11/9/16,16,28,20,24,1
8,11/10/16,13,18,19,33,1
9,11/13/16,14,29,30,30,1
10,11/16/16,11,30,15,35,1
11,11/18/16,11,23,28,16,1
12,11/19/16,10,33,29,20,1
13,11/21/16,10,14,25,22,1
14,11/23/16,5,28,26,31,1
15,11/25/16,12,29,18,24,1
16,11/26/16,0,28,23,34,1
17,11/28/16,4,25,20,25,1
18,12/1/16,20,39,15,28,0
19,12/3/16,9,20,26,31,1
20,12/5/16,2,20,60,13,1
21,12/7/16,22,16,24,19,1
22,12/8/16,13,21,10,26,1
23,12/10/16,7,21,8,17,0
24,12/11/16,18,22,30,22,1
25,12/13/16,12,27,17,30,1
26,12/15/16,5,15,25,8,1
27,12/17/16,3,34,16,19,1
28,12/20/16,15,22,17,25,1
29,12/22/16,0,26,23,15,1
30,12/23/16,5,32,17,25,1
31,12/25/16,16,36,24,15,0
32,12/28/16,14,22,21,28,1
33,12/30/16,13,19,29,14,1
34,1/2/17,15,21,25,22,1
35,1/4/17,9,30,14,35,1
36,1/6/17,11,27,17,40,0
37,1/8/17,9,28,18,30,1
38,1/10/17,13,28,0,24,1
39,1/12/17,2,25,23,24,1
40,1/16/17,11,21,26,20,1
41,1/18/17,12,40,14,24,1
42,1/20/17,15,32,16,24,1
43,1/22/17,6,15,21,27,1
44,1/23/17,7,27,22,21,0
45,1/25/17,13,33,19,28,1
46,1/28/17,5,23,16,43,1
47,1/29/17,5,33,27,0,1
48,2/1/17,8,18,29,39,1
