Player,Rk,G,Date,Age,Tm,Home,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Stephen Curry,1,1,10/25/16,28-225,GSW,,SAS,L (-29),1,34:06:00,9,18,0.5,3,10,0.3,5,6,0.833,0,3,3,4,0,0,4,1,26,15.9,-9
Stephen Curry,2,2,10/28/16,28-228,GSW,@,NOP,W (+8),1,34:04:00,8,19,0.421,4,10,0.4,3,4,0.75,1,0,1,8,1,0,4,3,23,14.6,4
Stephen Curry,3,3,10/30/16,28-230,GSW,@,PHO,W (+6),1,34:13:00,9,17,0.529,5,8,0.625,5,5,1,0,1,1,3,0,0,1,5,28,19.1,2
Stephen Curry,4,4,11/1/16,28-232,GSW,@,POR,W (+23),1,29:30:00,10,21,0.476,5,10,0.5,3,4,0.75,1,3,4,3,1,0,4,3,28,16.4,24
Stephen Curry,5,5,11/3/16,28-234,GSW,,OKC,W (+26),1,30:03:00,6,14,0.429,2,6,0.333,7,8,0.875,0,1,1,7,2,1,1,1,21,19.7,16
Stephen Curry,6,6,11/4/16,28-235,GSW,@,LAL,L (-20),1,31:06:00,5,17,0.294,0,10,0,3,3,1,0,8,8,10,2,1,2,3,13,12,-4
Stephen Curry,7,7,11/7/16,28-238,GSW,,NOP,W (+10),1,35:39:00,16,26,0.615,13,17,0.765,1,2,0.5,3,2,5,5,2,0,4,2,46,37.2,9
Stephen Curry,8,8,11/9/16,28-240,GSW,,DAL,W (+21),1,30:50:00,8,12,0.667,4,8,0.5,4,4,1,0,3,3,6,1,0,5,1,24,19.5,16
Stephen Curry,9,9,11/10/16,28-241,GSW,@,DEN,W (+24),1,29:56:00,10,17,0.588,7,13,0.538,6,6,1,1,4,5,6,1,0,4,1,33,27.8,27
Stephen Curry,10,10,11/13/16,28-244,GSW,,PHO,W (+13),1,36:46:00,9,17,0.529,5,9,0.556,7,7,1,0,6,6,6,2,0,3,2,30,25.9,22
Stephen Curry,11,11,11/16/16,28-247,GSW,@,TOR,W (+6),1,37:22:00,10,19,0.526,3,9,0.333,12,13,0.923,2,1,3,7,1,0,3,3,35,28.7,5
Stephen Curry,12,12,11/18/16,28-249,GSW,@,BOS,W (+16),1,36:18:00,7,20,0.35,2,10,0.2,0,0,,0,3,3,8,4,1,2,4,16,12.4,19
Stephen Curry,13,13,11/19/16,28-250,GSW,@,MIL,W (+3),1,34:41:00,7,21,0.333,1,11,0.091,5,5,1,0,5,5,5,1,0,3,4,20,9.5,1
Stephen Curry,14,14,11/21/16,28-252,GSW,@,IND,W (+37),1,29:30:00,6,11,0.545,2,6,0.333,8,8,1,2,4,6,6,1,0,1,1,22,23.1,34
Stephen Curry,15,15,11/23/16,28-254,GSW,,LAL,W (+43),1,28:45:00,11,18,0.611,7,12,0.583,2,2,1,0,5,5,9,1,0,1,1,31,30.2,32
Stephen Curry,16,16,11/25/16,28-256,GSW,@,LAL,W (+24),1,35:36:00,8,17,0.471,4,10,0.4,4,4,1,2,3,5,5,3,0,3,1,24,20.7,14
